student_id,gender,school_type,city,parent_education,study_hours,attendance,sleep_hours,activities,internet,math,science,arabic,english
S0038,ذكر,أهلية,الرياض,جامعي,11.2,91.9,8.5,لا,نعم,59,58,64,64
S0039,أنثى,أهلية,الرياض,دراسات عليا,13.5,86.4,7.8,نعم,نعم,70,75,87,86
S0040,أنثى,حكومية,جدة,ثانوي,7.9,99.0,7.2,نعم,لا,59,57,63,63
S0041,ذكر,أهلية,الدمام,ثانوي,3.1,84.0,8.0,نعم,نعم,51,53,51,53
S0042,ذكر,حكومية,الرياض,ثانوي,9.9,85.2,6.4,لا,نعم,63,80,75,74
S0043,ذكر,أهلية,أبها,دراسات عليا,2.7,93.5,6.7,نعم,لا,60,69,65,73
S0044,أنثى,حكومية,الرياض,جامعي,3.3,84.2,6.4,لا,لا,53,50,48,45
S0045,ذكر,حكومية,جدة,جامعي,11.5,84.7,8.6,لا,نعم,78,83,77,69
S0046,ذكر,أهلية,الدمام,ثانوي,4.1,100,6.4,لا,نعم,57,52,63,51
S0047,ذكر,أهلية,الرياض,دراسات عليا,7.1,80.5,6.5,نعم,نعم,43,29,50,55
S0048,أنثى,أهلية,جدة,ابتدائي,11.6,91.7,5.9,نعم,نعم,39,47,61,59
S0049,أنثى,حكومية,جدة,جامعي,13.0,93.0,6.9,لا,نعم,77,70,81,90
S0050,ذكر,أهلية,جدة,ثانوي,,90.5,8.9,نعم,نعم,61,85,69,67
S0051,أنثى,أهلية,جدة,جامعي,10.2,85.1,7.5,نعم,نعم,56,56,75,84
S0052,أنثى,أهلية,جدة,جامعي,13.4,85.0,6.8,نعم,نعم,84,77,87,80
S0053,ذكر,حكومية,الرياض,جامعي,12.6,97.7,6.4,لا,نعم,75,75,70,74
S0054,أنثى,حكومية,الرياض,ثانوي,21.7,84.9,6.9,نعم,نعم,67,73,96,76
S0055,ذكر,حكومية,الرياض,ثانوي,6.9,86.3,6.4,لا,نعم,61,59,75,60
S0056,ذكر,حكومية,جدة,ابتدائي,17.2,94.7,6.8,نعم,لا,66,68,72,67
S0057,ذكر,حكومية,الرياض,جامعي,5.9,77.1,7.5,نعم,نعم,39,55,63,47
S0058,أنثى,حكومية,جدة,ثانوي,11.1,84.9,6.1,لا,لا,67,73,74,58
S0059,أنثى,حكومية,الرياض,دراسات عليا,4.6,86.7,7.4,لا,نعم,58,60,56,51
S0060,أنثى,حكومية,الرياض,ابتدائي,15.2,87.3,8.1,لا,نعم,77,54,72,55
S0061,أنثى,أهلية,الرياض,ثانوي,4.1,81.3,7.5,نعم,نعم,73,61,65,62
S0062,أنثى,حكومية,الرياض,جامعي,15.8,88.5,6.4,نعم,نعم,66,73,74,70
S0063,ذكر,حكومية,الدمام,دراسات عليا,6.4,82.7,5.7,لا,نعم,41,65,74,51
S0064,ذكر,أهلية,أبها,جامعي,5.7,86.7,7.8,نعم,نعم,54,50,63,57
S0065,أنثى,حكومية,الرياض,جامعي,11.2,89.6,6.5,نعم,نعم,57,62,76,49
S0066,أنثى,أهلية,جدة,ثانوي,12.4,77.7,7.4,لا,نعم,58,60,66,71
S0067,ذكر,أهلية,جدة,ثانوي,6.9,96.3,7.3,لا,نعم,78,59,68,72
S0068,ذكر,حكومية,جدة,جامعي,7.6,95.2,8.1,لا,نعم,83,93,89,82
S0069,ذكر,أهلية,الرياض,جامعي,16.1,97.3,8.1,نعم,نعم,74,74,85,88
S0070,أنثى,حكومية,جدة,دراسات عليا,9.5,84.9,6.2,لا,نعم,91,89,79,82
S0071,ذكر,حكومية,جدة,ثانوي,11.7,84.8,6.6,نعم,نعم,77,87,82,74
S0072,أنثى,أهلية,جدة,ثانوي,15.2,97.2,6.4,لا,نعم,55,69,72,67
S0073,ذكر,حكومية,جدة,جامعي,11.5,96.6,7.3,لا,نعم,60,69,65,60
S0074,ذكر,أهلية,الدمام,ثانوي,11.5,89.2,5.8,نعم,نعم,73,70,64,66
S0075,أنثى,حكومية,الدمام,ابتدائي,9.8,98.2,6.1,لا,نعم,63,68,73,72
S0076,أنثى,حكومية,الرياض,ثانوي,15.3,100,8.2,لا,لا,65,80,86,78
S0077,أنثى,حكومية,الرياض,ثانوي,13.7,89.0,8.9,لا,نعم,65,71,66,75
S0078,ذكر,حكومية,جدة,ابتدائي,5.1,94.6,7.9,لا,لا,61,54,56,66
S0079,أنثى,حكومية,جدة,ثانوي,9.7,86.5,7.2,لا,نعم,74,68,75,63
S0080,ذكر,حكومية,الرياض,ثانوي,14.1,88.6,6.9,لا,نعم,71,79,86,73
S0081,ذكر,حكومية,الرياض,ثانوي,9.4,90.2,7.7,لا,نعم,55,64,69,62
S0082,أنثى,حكومية,الرياض,جامعي,17.6,97.4,6.9,لا,نعم,87,100,93,95
S0083,أنثى,حكومية,الرياض,ثانوي,13.6,88.5,6.0,لا,لا,47,45,63,66
S0084,ذكر,حكومية,جدة,جامعي,15.5,92.5,6.7,نعم,نعم,73,80,77,80
S0085,أنثى,حكومية,الرياض,ثانوي,10.0,90.1,5.5,لا,نعم,50,61,67,59
S0086,ذكر,حكومية,جدة,ثانوي,11.0,89.7,5.7,لا,نعم,76,82,72,64
S0087,ذكر,أهلية,الرياض,جامعي,7.3,82.3,6.2,لا,نعم,59,60,70,72
S0088,ذكر,حكومية,الرياض,ثانوي,12.0,100,7.0,لا,نعم,62,74,72,70
S0089,ذكر,حكومية,الدمام,ثانوي,14.3,83.5,6.6,لا,لا,53,59,50,51
S0090,ذكر,حكومية,الرياض,ثانوي,11.0,95.1,7.6,نعم,نعم,82,84,87,82
S0091,أنثى,أهلية,الرياض,جامعي,16.1,90.0,5.0,نعم,نعم,67,65,71,86
S0092,ذكر,حكومية,الرياض,جامعي,4.2,77.5,7.2,نعم,نعم,47,51,45,41
S0093,ذكر,حكومية,الرياض,جامعي,1.7,99.3,,لا,نعم,57,72,70,61
S0094,ذكر,حكومية,الدمام,ثانوي,7.7,100,7.5,نعم,نعم,67,63,67,55
S0095,أنثى,حكومية,الرياض,دراسات عليا,12.5,97.3,7.7,نعم,نعم,76,78,88,89
S0096,أنثى,حكومية,الدمام,دراسات عليا,11.8,91.0,7.5,لا,نعم,71,81,87,73
S0097,ذكر,حكومية,الرياض,ثانوي,20.3,82.0,8.2,لا,نعم,76,76,82,76
S0098,أنثى,حكومية,الدمام,ابتدائي,15.6,100,8.3,لا,نعم,66,84,87,66
S0099,ذكر,حكومية,الرياض,جامعي,11.0,100,8.4,نعم,نعم,69,69,78,84
S0100,ذكر,حكومية,الرياض,ابتدائي,,99.3,7.4,لا,نعم,75,77,77,80
S0101,أنثى,حكومية,أبها,جامعي,15.7,86.4,7.7,لا,نعم,53,76,75,75
S0102,أنثى,حكومية,الرياض,دراسات عليا,11.1,92.6,4.9,نعم,نعم,79,82,82,74
S0103,ذكر,حكومية,الرياض,ابتدائي,15.0,77.6,5.4,نعم,نعم,52,57,66,61
S0104,ذكر,حكومية,أبها,دراسات عليا,14.2,95.3,8.8,نعم,نعم,67,87,96,94
S0105,ذكر,حكومية,الدمام,دراسات عليا,15.3,75.4,4,نعم,لا,54,68,56,58
S0106,أنثى,حكومية,الدمام,ابتدائي,4.2,83.2,6.2,لا,لا,31,42,52,41
S0107,أنثى,حكومية,أبها,جامعي,13.8,84.5,7.5,لا,نعم,89,84,83,85
S0108,أنثى,حكومية,جدة,ثانوي,17.0,88.7,6.4,نعم,نعم,80,84,84,73
S0109,ذكر,حكومية,جدة,ثانوي,16.4,100,6.4,نعم,نعم,69,74,64,72
S0110,ذكر,أهلية,الدمام,ثانوي,9.9,82.4,6.2,لا,نعم,51,51,66,59
S0111,أنثى,حكومية,الرياض,ثانوي,11.4,96.5,7.9,لا,نعم,65,72,79,66
S0112,ذكر,أهلية,الدمام,جامعي,,87.0,7.4,نعم,نعم,57,58,78,58
S0113,أنثى,حكومية,الرياض,ثانوي,9.5,98.9,4.7,لا,لا,51,42,50,26
S0114,أنثى,حكومية,الرياض,ثانوي,15.9,87.6,6.6,نعم,نعم,75,81,73,64
S0115,ذكر,أهلية,الرياض,ابتدائي,10.1,88.3,8.7,لا,نعم,41,50,63,64
S0116,أنثى,حكومية,الرياض,ابتدائي,17.6,93.1,6.5,نعم,نعم,83,91,84,80
S0117,ذكر,حكومية,الرياض,دراسات عليا,6.0,86.7,5.3,لا,نعم,54,59,55,38
S0118,أنثى,حكومية,الرياض,ثانوي,19.5,85.6,7.2,نعم,نعم,81,82,76,79
S0119,ذكر,حكومية,جدة,جامعي,15.1,83.4,6.4,نعم,نعم,71,81,80,82
S0120,أنثى,حكومية,الرياض,جامعي,9.6,91.3,,نعم,نعم,70,66,83,72
S0121,ذكر,أهلية,جدة,ثانوي,7.1,83.6,6.5,لا,نعم,53,65,73,72
S0122,ذكر,حكومية,الرياض,جامعي,7.6,91.8,6.8,لا,لا,51,68,65,47
S0123,أنثى,حكومية,الرياض,جامعي,18.9,83.0,9.5,لا,نعم,78,75,80,62
S0124,ذكر,حكومية,الرياض,جامعي,7.1,94.1,6.5,نعم,نعم,72,74,68,58
S0125,أنثى,أهلية,الدمام,جامعي,15.5,85.4,5.8,لا,نعم,69,74,74,82
S0126,أنثى,حكومية,الرياض,ثانوي,12.9,84.3,7.0,لا,نعم,61,66,61,56
S0127,ذكر,حكومية,الدمام,جامعي,0,90.7,6.2,نعم,نعم,56,61,77,67
S0128,أنثى,حكومية,الرياض,جامعي,23.3,85.3,5.8,نعم,نعم,74,92,94,83
S0129,أنثى,حكومية,جدة,دراسات عليا,13.3,73.6,8.6,نعم,نعم,69,72,80,64
S0130,ذكر,حكومية,الرياض,دراسات عليا,10.2,81.5,8.1,نعم,نعم,51,57,62,62
S0131,أنثى,حكومية,جدة,ثانوي,2.3,87.1,8.2,لا,نعم,64,61,67,54
S0132,أنثى,أهلية,جدة,ثانوي,13.3,82.3,6.0,لا,لا,53,59,68,83
S0133,ذكر,حكومية,الرياض,دراسات عليا,16.2,94.2,9.4,نعم,لا,90,92,100,95
S0134,ذكر,أهلية,الرياض,جامعي,16.4,92.6,7.5,نعم,نعم,81,79,88,91
S0135,ذكر,حكومية,أبها,ابتدائي,9.6,94.9,6.2,لا,لا,49,32,54,43
S0136,ذكر,حكومية,أبها,دراسات عليا,16.2,93.0,7.3,نعم,لا,73,75,83,64
S0137,ذكر,أهلية,الرياض,ابتدائي,19.1,93.9,9.1,نعم,نعم,85,78,82,92
S0138,ذكر,حكومية,الرياض,ثانوي,13.3,84.6,7.5,لا,نعم,69,80,76,79
S0139,أنثى,حكومية,الدمام,ثانوي,8.6,99.3,6.1,لا,نعم,53,60,48,66
S0140,ذكر,أهلية,الرياض,ثانوي,,98.6,7.2,لا,نعم,61,67,68,80
S0141,أنثى,حكومية,أبها,دراسات عليا,14.6,92.3,9.0,لا,نعم,71,75,76,65
S0142,ذكر,أهلية,الرياض,دراسات عليا,6.4,90.2,7.6,لا,نعم,66,71,74,79
S0143,ذكر,حكومية,الدمام,جامعي,0,84.8,7.7,نعم,نعم,59,52,63,60
S0144,ذكر,أهلية,الرياض,ثانوي,3.3,78.7,6.3,لا,لا,44,40,54,53
S0145,أنثى,حكومية,الرياض,ثانوي,14.3,79.0,6.3,نعم,نعم,58,58,58,51
S0146,أنثى,حكومية,الرياض,دراسات عليا,8.0,84.0,5.8,نعم,لا,63,51,63,52
S0147,أنثى,حكومية,جدة,جامعي,13.1,98.5,8.5,نعم,نعم,85,99,86,92
S0148,أنثى,حكومية,جدة,ثانوي,6.2,82.9,6.5,لا,نعم,58,56,59,56
S0149,ذكر,أهلية,جدة,ثانوي,15.9,82.6,5.7,لا,نعم,64,81,71,75
S0150,ذكر,أهلية,الرياض,دراسات عليا,,81.9,7.5,لا,نعم,64,60,70,85
S0151,أنثى,أهلية,أبها,جامعي,22.3,78.2,6.8,لا,نعم,74,70,82,89
S0152,ذكر,حكومية,أبها,جامعي,,93.8,7.2,لا,نعم,63,65,72,74
S0153,ذكر,حكومية,جدة,جامعي,12.2,75.8,6.0,نعم,نعم,51,47,59,73
S0154,ذكر,حكومية,الدمام,دراسات عليا,11.7,80.9,6.8,لا,نعم,65,73,79,68
S0155,أنثى,حكومية,جدة,ابتدائي,16.9,90.4,4.4,لا,نعم,61,70,71,62
S0156,ذكر,حكومية,الرياض,جامعي,21.0,81.5,7.0,لا,نعم,82,83,94,91
S0157,ذكر,حكومية,أبها,جامعي,6.3,78.0,5.9,نعم,نعم,55,55,65,57
S0158,أنثى,حكومية,الدمام,جامعي,12.3,79.9,6.0,لا,نعم,53,56,58,53
S0159,أنثى,حكومية,الرياض,دراسات عليا,16.0,80.6,6.2,لا,نعم,66,79,67,66
S0160,أنثى,أهلية,جدة,جامعي,8.0,90.4,5.9,نعم,نعم,60,76,66,73
S0161,أنثى,أهلية,أبها,دراسات عليا,13.6,80.1,6.1,نعم,نعم,49,49,55,66
S0162,ذكر,أهلية,الرياض,ثانوي,10.8,86.6,5.4,نعم,نعم,49,79,76,87
S0163,ذكر,أهلية,الدمام,ثانوي,4.3,81.2,7.1,لا,نعم,32,39,50,47
S0164,ذكر,أهلية,جدة,ثانوي,5.4,84.0,6.3,لا,نعم,49,66,58,62
S0165,ذكر,أهلية,جدة,جامعي,15.5,85.9,,نعم,نعم,69,64,73,81
S0166,أنثى,حكومية,الرياض,ابتدائي,8.7,100,,نعم,نعم,65,56,70,72
S0167,ذكر,أهلية,الرياض,ثانوي,8.8,76.1,5.8,نعم,نعم,53,70,65,67
S0168,أنثى,حكومية,جدة,ثانوي,17.0,86.4,5.9,لا,لا,68,74,73,63
S0169,أنثى,حكومية,جدة,ثانوي,12.2,85.6,6.9,لا,نعم,62,64,59,78
S0170,أنثى,حكومية,جدة,ابتدائي,11.5,83.3,6.8,لا,نعم,65,78,72,75
S0171,أنثى,حكومية,الرياض,ثانوي,9.2,84.5,8.6,لا,نعم,78,66,73,65
S0172,أنثى,حكومية,الرياض,جامعي,6.5,89.9,5.1,لا,نعم,53,58,64,47
S0173,ذكر,أهلية,أبها,جامعي,8.0,75.7,5.9,لا,نعم,64,51,65,64
S0174,ذكر,حكومية,الرياض,جامعي,0,85.4,10,نعم,نعم,63,66,62,60
S0175,ذكر,حكومية,الرياض,ثانوي,0.5,91.9,6.6,نعم,نعم,39,45,58,49
S0176,أنثى,أهلية,الدمام,ثانوي,18.7,85.3,8.3,نعم,نعم,79,80,96,89
S0177,أنثى,حكومية,جدة,ثانوي,16.8,86.2,6.9,نعم,نعم,83,84,85,81
S0178,ذكر,حكومية,الرياض,ثانوي,14.6,86.8,6.6,لا,نعم,81,89,93,74
S0179,ذكر,حكومية,الرياض,جامعي,9.3,88.1,5.9,لا,نعم,66,63,67,66
S0180,أنثى,حكومية,الدمام,ثانوي,13.1,77.7,7.0,لا,نعم,68,68,62,69
S0181,ذكر,أهلية,الرياض,ابتدائي,12.3,84.0,7.2,نعم,نعم,62,65,73,61
S0182,أنثى,حكومية,الرياض,ثانوي,15.0,91.5,6.6,نعم,نعم,70,75,68,67
S0183,ذكر,حكومية,الرياض,ثانوي,21.4,89.0,6.1,لا,لا,60,76,69,77
S0184,أنثى,حكومية,الدمام,جامعي,14.2,75.9,7.6,نعم,لا,70,71,64,45
S0185,ذكر,أهلية,جدة,جامعي,25.3,69.1,7.9,لا,نعم,62,67,73,70
S0186,أنثى,حكومية,الرياض,ثانوي,,93.1,,نعم,نعم,59,56,60,56
S0187,أنثى,حكومية,الدمام,ثانوي,19.6,87.4,8.6,نعم,نعم,89,72,84,85
S0188,ذكر,حكومية,الرياض,جامعي,16.0,99.4,7.7,لا,نعم,74,82,84,70
S0189,أنثى,حكومية,الرياض,ابتدائي,3.5,91.8,6.4,لا,نعم,42,45,51,47
S0190,ذكر,حكومية,جدة,جامعي,13.1,81.4,8.2,لا,لا,58,66,71,54
S0191,ذكر,حكومية,الرياض,ابتدائي,7.1,88.9,5.9,لا,نعم,41,45,65,49
S0192,ذكر,أهلية,الرياض,ثانوي,16.1,83.6,6.0,نعم,لا,63,70,72,70
S0193,ذكر,أهلية,جدة,ثانوي,9.7,95.4,7.6,نعم,نعم,65,68,77,63
S0194,أنثى,حكومية,الرياض,جامعي,23.6,93.9,6.7,لا,نعم,82,84,100,81
S0195,ذكر,حكومية,جدة,ثانوي,14.0,85.3,6.7,لا,لا,54,70,73,53
S0196,أنثى,حكومية,الدمام,دراسات عليا,15.0,83.5,6.1,نعم,نعم,62,74,71,57
S0197,أنثى,حكومية,جدة,جامعي,5.3,88.3,6.3,نعم,لا,64,67,60,54
S0198,ذكر,أهلية,الرياض,ثانوي,8.1,81.8,6.1,لا,نعم,63,51,61,53
S0199,أنثى,حكومية,جدة,ابتدائي,15.9,70.8,6.7,نعم,نعم,64,63,70,76
S0200,أنثى,حكومية,الدمام,ثانوي,11.2,96.1,6.7,نعم,نعم,76,84,87,82
S0201,أنثى,حكومية,أبها,جامعي,11.9,89.9,6.1,لا,نعم,73,65,82,79
S0202,أنثى,حكومية,جدة,ثانوي,21.1,100,4.9,لا,نعم,61,76,77,69
S0203,ذكر,حكومية,الرياض,جامعي,3.0,82.0,7.2,نعم,نعم,54,50,52,54
S0204,ذكر,حكومية,الرياض,جامعي,11.1,87.6,6.5,لا,نعم,63,58,68,58
S0205,أنثى,حكومية,أبها,جامعي,14.6,90.7,7.4,لا,نعم,82,77,92,92
S0206,ذكر,أهلية,جدة,دراسات عليا,11.7,91.9,7.4,لا,نعم,78,82,83,93
S0207,أنثى,حكومية,الرياض,ثانوي,8.7,94.4,6.3,نعم,نعم,57,56,59,55
S0208,ذكر,أهلية,الرياض,ابتدائي,9.0,95.0,6.8,لا,نعم,65,69,80,73
S0209,ذكر,حكومية,جدة,ثانوي,7.6,100,6.9,لا,نعم,60,57,71,46
S0210,ذكر,حكومية,جدة,دراسات عليا,13.8,100,7.7,نعم,لا,82,93,90,74
S0211,أنثى,حكومية,الرياض,دراسات عليا,4.8,79.7,7.7,لا,نعم,59,61,60,64
S0212,أنثى,حكومية,الرياض,جامعي,9.5,96.0,6.4,نعم,نعم,71,74,77,72
S0213,أنثى,حكومية,جدة,ابتدائي,19.5,96.4,5.8,نعم,نعم,73,62,84,65
S0214,ذكر,حكومية,أبها,جامعي,15.2,73.7,8.7,لا,نعم,75,74,68,83
S0215,أنثى,أهلية,الدمام,ثانوي,12.1,81.2,7.1,نعم,نعم,60,58,75,73
S0216,ذكر,حكومية,جدة,ابتدائي,6.5,88.9,8.8,لا,نعم,65,78,78,72
S0217,أنثى,حكومية,جدة,دراسات عليا,,80.7,7.4,نعم,نعم,69,72,85,75
S0218,أنثى,أهلية,الرياض,جامعي,16.1,89.5,7.1,لا,نعم,100,84,91,84
S0219,ذكر,حكومية,الرياض,جامعي,8.7,82.0,6.6,لا,نعم,69,54,71,50
S0220,ذكر,حكومية,أبها,جامعي,15.9,74.9,7.4,لا,نعم,71,67,69,57
S0221,ذكر,حكومية,جدة,دراسات عليا,9.5,73.8,6.3,لا,نعم,57,60,62,62
S0222,أنثى,حكومية,الرياض,دراسات عليا,12.0,86.5,8.0,لا,نعم,60,66,69,62
S0223,ذكر,حكومية,جدة,جامعي,19.9,84.3,8.2,نعم,نعم,81,72,83,78
S0224,ذكر,حكومية,الرياض,جامعي,13.1,63.7,4.7,نعم,نعم,42,71,58,58
S0225,أنثى,حكومية,جدة,ابتدائي,8.2,83.2,7.3,لا,نعم,48,52,52,64
S0226,ذكر,حكومية,جدة,جامعي,15.2,91.0,6.6,لا,نعم,90,79,94,86
S0227,ذكر,أهلية,الرياض,ثانوي,4.6,83.4,6.5,لا,نعم,55,51,63,61
S0228,أنثى,حكومية,الدمام,ثانوي,7.0,73.1,9.3,لا,نعم,59,60,63,56
S0229,ذكر,حكومية,الرياض,ابتدائي,11.5,85.3,8.5,لا,نعم,52,54,50,52
S0230,ذكر,حكومية,أبها,ثانوي,,77.6,5.8,نعم,نعم,54,71,66,65
S0231,ذكر,أهلية,الرياض,جامعي,13.8,89.8,8.4,لا,لا,71,78,79,80
S0232,أنثى,أهلية,الرياض,ثانوي,15.4,79.3,7.2,لا,نعم,63,63,69,60
S0233,أنثى,أهلية,الرياض,دراسات عليا,18.0,83.4,8.0,لا,نعم,88,83,83,87
S0234,أنثى,حكومية,الدمام,جامعي,17.6,93.6,8.1,لا,نعم,81,89,88,82
S0235,ذكر,أهلية,جدة,جامعي,11.6,93.3,6.1,لا,نعم,65,71,84,86
S0236,أنثى,أهلية,الدمام,ثانوي,10.7,69.1,7.0,نعم,نعم,47,51,66,67
S0237,ذكر,حكومية,الدمام,جامعي,12.3,84.1,6.8,لا,نعم,63,60,64,70
S0238,ذكر,حكومية,الدمام,ثانوي,19.0,92.7,4,نعم,نعم,83,74,89,64
S0239,أنثى,حكومية,جدة,دراسات عليا,9.7,87.8,6.6,لا,نعم,67,57,74,59
S0240,ذكر,حكومية,الرياض,ثانوي,14.4,95.0,7.5,نعم,نعم,77,68,85,68
S0241,ذكر,حكومية,جدة,جامعي,9.9,86.1,7.4,لا,لا,66,71,69,65
S0242,أنثى,حكومية,جدة,ابتدائي,16.1,72.8,7.1,لا,نعم,67,56,65,70
S0243,أنثى,أهلية,الرياض,جامعي,16.1,83.4,8.4,نعم,نعم,69,72,73,73
S0244,أنثى,أهلية,أبها,ثانوي,4.9,100,8.0,لا,نعم,46,49,57,66
S0245,ذكر,أهلية,جدة,جامعي,11.2,89.9,6.2,لا,نعم,64,68,75,70
S0246,أنثى,حكومية,الدمام,دراسات عليا,16.4,85.8,5.8,لا,نعم,70,71,73,73
S0247,ذكر,حكومية,جدة,جامعي,5.3,81.4,5.5,نعم,نعم,54,65,48,44
S0248,ذكر,حكومية,جدة,ثانوي,,93.4,6.9,لا,لا,56,50,54,52
S0249,ذكر,حكومية,جدة,جامعي,3.4,93.1,5.8,لا,نعم,57,57,56,44
S0250,أنثى,حكومية,أبها,ثانوي,17.8,100,7.8,نعم,نعم,99,98,100,92
S0251,ذكر,حكومية,جدة,ثانوي,7.7,94.8,7.4,لا,نعم,62,55,63,78
S0252,ذكر,أهلية,جدة,ابتدائي,7.5,80.6,6.8,نعم,نعم,51,55,58,57
S0253,أنثى,أهلية,الدمام,جامعي,10.5,93.3,6.7,لا,نعم,58,74,62,70
S0254,ذكر,حكومية,الرياض,دراسات عليا,,84.5,7.2,نعم,لا,64,64,59,63
S0255,أنثى,حكومية,جدة,ثانوي,0,89.2,5.7,لا,لا,32,41,38,34
S0256,أنثى,حكومية,جدة,جامعي,11.5,98.5,7.7,نعم,نعم,76,87,76,71
S0257,ذكر,حكومية,جدة,جامعي,11.9,91.0,6.7,نعم,نعم,66,71,73,58
S0258,ذكر,حكومية,الرياض,ثانوي,3.4,85.0,8.0,نعم,نعم,48,51,53,53
S0259,أنثى,أهلية,أبها,دراسات عليا,4.3,92.0,5.9,نعم,نعم,57,57,62,66
S0260,أنثى,حكومية,جدة,جامعي,17.4,98.4,7.0,نعم,نعم,83,82,95,79
S0261,أنثى,حكومية,الرياض,دراسات عليا,,89.6,7.9,نعم,نعم,82,74,82,69
S0262,ذكر,حكومية,الدمام,جامعي,14.3,90.4,7.3,نعم,نعم,53,57,67,63
S0263,ذكر,حكومية,أبها,جامعي,4.4,83.5,5.2,لا,لا,58,47,59,47
S0264,ذكر,حكومية,أبها,جامعي,4.5,84.7,6.3,نعم,نعم,53,63,58,60
S0265,ذكر,أهلية,جدة,جامعي,16.4,86.5,5.5,نعم,نعم,64,71,78,80
S0266,ذكر,حكومية,الرياض,دراسات عليا,19.7,85.6,7.0,لا,نعم,86,77,90,67
S0267,أنثى,حكومية,جدة,ثانوي,14.2,82.0,6.7,نعم,نعم,51,57,57,69
S0268,ذكر,حكومية,جدة,ثانوي,4.6,84.6,8.6,نعم,لا,51,61,50,41
S0269,أنثى,حكومية,الدمام,ثانوي,10.0,85.8,7.0,نعم,نعم,53,74,66,59
