order_id,order_date,city,category,product,unit_price,quantity,discount,payment_method,customer_type,rating
ORD-10112,2025-01-28,جدة,ملابس,قميص قطني,79,3,0,تحويل بنكي,جديد,4
ORD-10113,2025-01-28,المدينة,إلكترونيات,ساعة ذكية,399,1,0,بطاقة,عائد,3
ORD-10114,2025-01-28,الرياض,أغذية,تمر فاخر,95,3,0,بطاقة,جديد,4
ORD-10115,2025-01-29,الرياض,أغذية,قهوة مختصة,65,1,0.2,الدفع عند الاستلام,عائد,5
ORD-10116,2025-01-29,الرياض,أغذية,قهوة مختصة,65,3,0.05,محفظة إلكترونية,جديد,4
ORD-10117,2025-01-29,جدة,ملابس,حذاء رياضي,249,1,0,محفظة إلكترونية,جديد,4
ORD-10118,2025-01-29,المدينة,المنزل,طقم أواني,299,2,0.1,الدفع عند الاستلام,عائد,3
ORD-10119,2025-01-30,الرياض,ملابس,قميص قطني,79,3,0,الدفع عند الاستلام,جديد,3
ORD-10120,2025-01-30,الدمام,أغذية,عسل سدر,180,2,0,محفظة إلكترونية,عائد,3
ORD-10121,2025-01-30,جدة,إلكترونيات,ساعة ذكية,399,4,0,بطاقة,عائد,
ORD-10122,2025-01-30,مكة,إلكترونيات,ساعة ذكية,399,3,0,بطاقة,عائد,
ORD-10123,2025-01-30,الرياض,المنزل,طقم أواني,299,1,0,بطاقة,عائد,3
ORD-10124,2025-01-30,الرياض,ملابس,قميص قطني,79,2,0,الدفع عند الاستلام,جديد,4
ORD-10125,2025-01-31,الرياض,أغذية,قهوة مختصة,65,4,0,بطاقة,عائد,4
ORD-10126,2025-01-31,الرياض,أغذية,قهوة مختصة,65,1,0.2,الدفع عند الاستلام,جديد,4
ORD-10127,2025-01-31,الرياض,المنزل,طقم أواني,299,3,0,بطاقة,جديد,5
ORD-10128,2025-01-31,المدينة,إلكترونيات,لوحة مفاتيح,129,2,0,بطاقة,عائد,4
ORD-10129,2025-01-31,الرياض,المنزل,طقم أواني,299,1,0.2,محفظة إلكترونية,جديد,5
ORD-10130,2025-02-01,أبها,المنزل,وسادة طبية,119,4,0.05,بطاقة,عائد,
ORD-10131,2025-02-01,أبها,ملابس,قميص قطني,79,1,0,محفظة إلكترونية,عائد,4
ORD-10132,2025-02-01,الرياض,إلكترونيات,لوحة مفاتيح,129,1,0,الدفع عند الاستلام,عائد,4
ORD-10133,2025-02-01,جدة,إلكترونيات,لوحة مفاتيح,129,2,0.2,بطاقة,عائد,5
ORD-10134,2025-02-01,الرياض,إلكترونيات,لوحة مفاتيح,129,1,0,الدفع عند الاستلام,عائد,5
ORD-10135,2025-02-02,جدة,المنزل,مصباح مكتب,89,1,0,تحويل بنكي,عائد,4
ORD-10136,2025-02-02,مكة,ملابس,قميص قطني,79,1,0,بطاقة,جديد,4
ORD-10137,2025-02-02,جدة,ملابس,حذاء رياضي,249,1,0.05,تحويل بنكي,جديد,5
ORD-10138,2025-02-03,جدة,إلكترونيات,ساعة ذكية,399,1,0.05,بطاقة,جديد,2
ORD-10139,2025-02-03,الرياض,ملابس,جاكيت,199,2,0,بطاقة,عائد,4
ORD-10140,2025-02-03,الرياض,المنزل,مصباح مكتب,89,1,0,بطاقة,جديد,4
ORD-10141,2025-02-03,الرياض,المنزل,وسادة طبية,119,1,0,تحويل بنكي,عائد,1
ORD-10142,2025-02-04,الرياض,إلكترونيات,لوحة مفاتيح,129,1,0,بطاقة,عائد,4
ORD-10143,2025-02-04,الرياض,ملابس,حذاء رياضي,249,3,0,بطاقة,عائد,1
ORD-10144,2025-02-04,المدينة,ملابس,حذاء رياضي,249,1,0,بطاقة,عائد,4
ORD-10145,2025-02-04,جدة,إلكترونيات,سماعة لاسلكية,149,2,0,الدفع عند الاستلام,عائد,5
ORD-10146,2025-02-04,مكة,المنزل,وسادة طبية,119,1,0,محفظة إلكترونية,عائد,3
ORD-10147,2025-02-05,أبها,ملابس,حذاء رياضي,249,1,0,محفظة إلكترونية,عائد,
ORD-10148,2025-02-05,الدمام,المنزل,وسادة طبية,119,3,0.1,بطاقة,جديد,5
ORD-10149,2025-02-05,الدمام,أغذية,تمر فاخر,95,2,0,بطاقة,عائد,3
ORD-10150,2025-02-05,الرياض,ملابس,حذاء رياضي,249,1,0.05,محفظة إلكترونية,عائد,1
ORD-10151,2025-02-06,الرياض,أغذية,قهوة مختصة,65,2,0,الدفع عند الاستلام,جديد,4
ORD-10152,2025-02-06,مكة,أغذية,قهوة مختصة,65,1,0,محفظة إلكترونية,عائد,5
ORD-10153,2025-02-06,جدة,المنزل,وسادة طبية,119,1,0.05,بطاقة,جديد,3
ORD-10154,2025-02-06,الرياض,ملابس,حذاء رياضي,249,1,0.05,محفظة إلكترونية,عائد,4
ORD-10155,2025-02-07,جدة,ملابس,حذاء رياضي,249,1,0,محفظة إلكترونية,جديد,4
ORD-10156,2025-02-07,أبها,إلكترونيات,لوحة مفاتيح,129,1,0.05,بطاقة,عائد,3
ORD-10157,2025-02-07,جدة,كتب,كتاب برمجة,120,2,0.05,تحويل بنكي,عائد,
ORD-10158,2025-02-07,الرياض,أغذية,تمر فاخر,95,1,0,تحويل بنكي,جديد,4
ORD-10159,2025-02-07,جدة,ملابس,حذاء رياضي,249,1,0,بطاقة,جديد,4
ORD-10160,2025-02-07,مكة,إلكترونيات,ساعة ذكية,399,1,0.2,بطاقة,عائد,4
ORD-10161,2025-02-08,الرياض,ملابس,حذاء رياضي,249,2,0.05,بطاقة,عائد,
ORD-10162,2025-02-08,أبها,ملابس,جاكيت,199,1,0.2,تحويل بنكي,عائد,5
ORD-10163,2025-02-09,الدمام,ملابس,حذاء رياضي,249,1,0.1,الدفع عند الاستلام,جديد,5
ORD-10164,2025-02-09,الدمام,ملابس,قميص قطني,79,2,0.05,بطاقة,عائد,4
ORD-10165,2025-02-09,جدة,إلكترونيات,لوحة مفاتيح,129,1,0,بطاقة,عائد,5
ORD-10166,2025-02-09,الرياض,إلكترونيات,لوحة مفاتيح,129,3,0,بطاقة,عائد,1
ORD-10167,2025-02-09,الرياض,المنزل,وسادة طبية,119,1,0,الدفع عند الاستلام,جديد,5
ORD-10168,2025-02-10,الدمام,إلكترونيات,لوحة مفاتيح,129,1,0,الدفع عند الاستلام,جديد,4
ORD-10169,2025-02-11,الرياض,ملابس,جاكيت,199,2,0.1,بطاقة,جديد,
ORD-10170,2025-02-11,الرياض,ملابس,حذاء رياضي,249,1,0,الدفع عند الاستلام,عائد,4
ORD-10171,2025-02-11,الرياض,أغذية,قهوة مختصة,65,1,0,تحويل بنكي,عائد,5
ORD-10172,2025-02-11,أبها,أغذية,تمر فاخر,95,1,0,بطاقة,عائد,5
ORD-10173,2025-02-11,جدة,أغذية,عسل سدر,180,1,0,محفظة إلكترونية,عائد,5
ORD-10174,2025-02-11,مكة,كتب,رواية,45,3,0,الدفع عند الاستلام,عائد,2
ORD-10175,2025-02-12,الدمام,أغذية,قهوة مختصة,65,2,0.05,بطاقة,جديد,3
ORD-10176,2025-02-12,الرياض,المنزل,مصباح مكتب,89,2,0,بطاقة,عائد,4
ORD-10177,2025-02-13,المدينة,أغذية,عسل سدر,180,2,0.1,بطاقة,عائد,4
ORD-10178,2025-02-13,مكة,ملابس,حذاء رياضي,249,3,0,محفظة إلكترونية,عائد,5
ORD-10179,2025-02-13,الرياض,إلكترونيات,ساعة ذكية,399,1,0,الدفع عند الاستلام,جديد,4
ORD-10180,2025-02-14,الرياض,ملابس,جاكيت,199,1,0.05,بطاقة,جديد,5
ORD-10181,2025-02-14,جدة,المنزل,طقم أواني,299,1,0,الدفع عند الاستلام,عائد,5
ORD-10182,2025-02-14,جدة,إلكترونيات,سماعة لاسلكية,149,2,0,بطاقة,عائد,5
ORD-10183,2025-02-14,جدة,المنزل,وسادة طبية,119,1,0,تحويل بنكي,عائد,
ORD-10184,2025-02-14,الرياض,ملابس,جاكيت,199,1,0.2,بطاقة,عائد,3
ORD-10185,2025-02-14,الرياض,إلكترونيات,سماعة لاسلكية,149,1,0.05,الدفع عند الاستلام,جديد,4
ORD-10186,2025-02-14,الرياض,كتب,رواية,45,2,0.1,بطاقة,عائد,5
ORD-10187,2025-02-15,أبها,كتب,كتاب برمجة,120,1,0.05,محفظة إلكترونية,جديد,5
ORD-10188,2025-02-15,جدة,أغذية,قهوة مختصة,65,1,0.1,بطاقة,عائد,5
ORD-10189,2025-02-15,أبها,إلكترونيات,لوحة مفاتيح,129,1,0,الدفع عند الاستلام,عائد,4
ORD-10190,2025-02-15,المدينة,المنزل,مصباح مكتب,89,1,0.2,محفظة إلكترونية,جديد,5
ORD-10191,2025-02-15,الرياض,أغذية,عسل سدر,180,2,0,محفظة إلكترونية,عائد,4
ORD-10192,2025-02-16,جدة,المنزل,وسادة طبية,119,4,0,محفظة إلكترونية,عائد,5
ORD-10193,2025-02-16,الرياض,ملابس,جاكيت,199,1,0.2,محفظة إلكترونية,جديد,5
ORD-10194,2025-02-16,المدينة,أغذية,تمر فاخر,95,2,0,بطاقة,عائد,4
ORD-10195,2025-02-17,جدة,إلكترونيات,ساعة ذكية,399,1,0,الدفع عند الاستلام,عائد,
ORD-10196,2025-02-17,الرياض,إلكترونيات,سماعة لاسلكية,149,1,0,تحويل بنكي,عائد,5
ORD-10197,2025-02-17,الرياض,المنزل,وسادة طبية,119,3,0,بطاقة,عائد,3
ORD-10198,2025-02-18,الرياض,المنزل,مصباح مكتب,89,1,0.1,بطاقة,جديد,5
ORD-10199,2025-02-19,الرياض,إلكترونيات,لوحة مفاتيح,129,1,0.1,الدفع عند الاستلام,جديد,5
ORD-10200,2025-02-19,جدة,كتب,رواية,45,1,0,محفظة إلكترونية,عائد,3
ORD-10201,2025-02-19,الرياض,إلكترونيات,ساعة ذكية,399,2,0,الدفع عند الاستلام,عائد,3
ORD-10202,2025-02-19,جدة,كتب,رواية,45,1,0,الدفع عند الاستلام,عائد,3
ORD-10203,2025-02-20,الدمام,أغذية,تمر فاخر,95,1,0,بطاقة,جديد,5
ORD-10204,2025-02-20,الرياض,أغذية,قهوة مختصة,65,1,0.1,محفظة إلكترونية,عائد,5
ORD-10205,2025-02-20,جدة,أغذية,قهوة مختصة,65,3,0,بطاقة,جديد,4
ORD-10206,2025-02-20,جدة,المنزل,وسادة طبية,119,1,0.1,تحويل بنكي,جديد,4
ORD-10207,2025-02-20,جدة,إلكترونيات,ساعة ذكية,399,1,0,بطاقة,عائد,5
ORD-10208,2025-02-21,الدمام,أغذية,قهوة مختصة,65,1,0.1,بطاقة,عائد,5
ORD-10209,2025-02-21,الدمام,أغذية,تمر فاخر,95,1,0,بطاقة,عائد,2
ORD-10210,2025-02-21,مكة,إلكترونيات,شاحن سريع,59,4,0,محفظة إلكترونية,عائد,4
ORD-10211,2025-02-21,الدمام,إلكترونيات,سماعة لاسلكية,149,1,0,بطاقة,جديد,
ORD-10212,2025-02-21,المدينة,أغذية,عسل سدر,180,3,0,بطاقة,عائد,3
ORD-10213,2025-02-21,جدة,كتب,رواية,45,2,0.05,الدفع عند الاستلام,جديد,4
ORD-10214,2025-02-22,الرياض,المنزل,وسادة طبية,119,1,0,بطاقة,جديد,5
ORD-10215,2025-02-22,الدمام,ملابس,جاكيت,199,1,0,محفظة إلكترونية,جديد,5
ORD-10216,2025-02-22,الرياض,أغذية,عسل سدر,180,1,0.05,بطاقة,جديد,4
ORD-10217,2025-02-22,المدينة,أغذية,تمر فاخر,95,2,0,الدفع عند الاستلام,جديد,5
ORD-10218,2025-02-23,جدة,أغذية,قهوة مختصة,65,2,0,بطاقة,جديد,5
ORD-10219,2025-02-23,مكة,إلكترونيات,شاحن سريع,59,2,0.2,بطاقة,جديد,5
ORD-10220,2025-02-23,الرياض,إلكترونيات,شاحن سريع,59,2,0,الدفع عند الاستلام,جديد,5
ORD-10221,2025-02-23,المدينة,أغذية,تمر فاخر,95,2,0,بطاقة,عائد,4
ORD-10222,2025-02-23,جدة,إلكترونيات,سماعة لاسلكية,149,1,0,الدفع عند الاستلام,عائد,4
ORD-10223,2025-02-24,الدمام,أغذية,قهوة مختصة,65,2,0,بطاقة,عائد,
ORD-10224,2025-02-24,الرياض,إلكترونيات,ساعة ذكية,399,2,0,الدفع عند الاستلام,جديد,5
ORD-10225,2025-02-25,الرياض,إلكترونيات,ساعة ذكية,399,1,0.05,الدفع عند الاستلام,جديد,
ORD-10226,2025-02-25,الدمام,ملابس,حذاء رياضي,249,1,0,بطاقة,عائد,3
ORD-10227,2025-02-25,الدمام,كتب,رواية,45,1,0,بطاقة,عائد,1
ORD-10228,2025-02-25,جدة,ملابس,جاكيت,199,4,0,بطاقة,عائد,5
ORD-10229,2025-02-26,الرياض,أغذية,قهوة مختصة,65,2,0,بطاقة,عائد,4
ORD-10230,2025-02-26,الدمام,ملابس,قميص قطني,79,1,0,بطاقة,جديد,4
ORD-10231,2025-02-26,جدة,أغذية,تمر فاخر,95,2,0,الدفع عند الاستلام,جديد,1
ORD-10232,2025-02-27,الرياض,كتب,كتاب برمجة,120,1,0,محفظة إلكترونية,جديد,3
ORD-10233,2025-02-27,الرياض,كتب,رواية,45,2,0.2,الدفع عند الاستلام,جديد,3
ORD-10234,2025-02-27,جدة,إلكترونيات,سماعة لاسلكية,149,3,0,بطاقة,عائد,5
ORD-10235,2025-02-27,جدة,ملابس,حذاء رياضي,249,1,0,بطاقة,عائد,5
ORD-10236,2025-02-27,جدة,كتب,كتاب برمجة,120,1,0,محفظة إلكترونية,عائد,4
ORD-10237,2025-02-28,الدمام,ملابس,قميص قطني,79,3,0.1,بطاقة,عائد,4
ORD-10238,2025-02-28,الدمام,ملابس,قميص قطني,79,2,0,بطاقة,عائد,5
ORD-10239,2025-02-28,الرياض,ملابس,قميص قطني,79,1,0,بطاقة,جديد,1
ORD-10240,2025-02-28,الرياض,المنزل,وسادة طبية,119,2,0.05,بطاقة,عائد,5
ORD-10241,2025-02-28,جدة,المنزل,وسادة طبية,119,3,0,الدفع عند الاستلام,جديد,5
ORD-10242,2025-02-28,جدة,كتب,رواية,45,1,0.05,بطاقة,جديد,4
ORD-10243,2025-03-01,جدة,ملابس,قميص قطني,79,1,0.2,الدفع عند الاستلام,جديد,5
ORD-10244,2025-03-01,جدة,أغذية,عسل سدر,180,2,0.05,تحويل بنكي,جديد,5
ORD-10245,2025-03-01,الدمام,المنزل,طقم أواني,299,1,0,بطاقة,جديد,5
ORD-10246,2025-03-01,جدة,كتب,كتاب برمجة,120,1,0,بطاقة,عائد,4
ORD-10247,2025-03-01,المدينة,ملابس,قميص قطني,79,1,0,بطاقة,عائد,4
ORD-10248,2025-03-01,مكة,ملابس,جاكيت,199,1,0,محفظة إلكترونية,عائد,4
ORD-10249,2025-03-01,جدة,كتب,كتاب برمجة,120,1,0,تحويل بنكي,عائد,4
ORD-10250,2025-03-01,الرياض,ملابس,حذاء رياضي,249,1,0.2,الدفع عند الاستلام,جديد,5
ORD-10251,2025-03-01,جدة,إلكترونيات,لوحة مفاتيح,129,2,0,تحويل بنكي,عائد,5
ORD-10252,2025-03-02,جدة,إلكترونيات,ساعة ذكية,399,2,0,محفظة إلكترونية,جديد,
ORD-10253,2025-03-02,المدينة,أغذية,قهوة مختصة,65,1,0.05,بطاقة,عائد,5
ORD-10254,2025-03-02,الرياض,أغذية,عسل سدر,180,2,0,بطاقة,جديد,3
ORD-10255,2025-03-02,أبها,إلكترونيات,شاحن سريع,59,1,0,بطاقة,جديد,3
ORD-10256,2025-03-02,الرياض,ملابس,قميص قطني,79,4,0,محفظة إلكترونية,عائد,3
ORD-10257,2025-03-03,الرياض,إلكترونيات,لوحة مفاتيح,129,1,0,الدفع عند الاستلام,جديد,4
ORD-10258,2025-03-03,أبها,ملابس,حذاء رياضي,249,1,0,الدفع عند الاستلام,جديد,4
